GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,IncrementPieceBuilderController,52,0,2,0,17,0,3,0,2,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,SaveLevelController,204,0,22,0,61,0,15,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,DeleteLevelController,70,0,0,0,21,0,4,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,RedoController,108,0,4,0,27,0,6,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,BuilderBoardController,161,0,16,0,38,0,12,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,UndoController,108,0,4,0,27,0,6,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,TestLevelBuilderController,182,0,0,0,48,0,4,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,SetNumberController,366,0,56,0,87,0,32,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,SelectLevelBuilderController,144,0,12,0,32,0,10,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,EditNewLevelBuilderController,127,22,8,0,29,8,7,1,3,1
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,DeselectReleaseButtonsController,130,0,8,0,37,0,8,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,LoadLevelsBuilderController,33,16,0,0,9,6,3,1,3,1
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,CreateNewLevelBuilderController,10,39,0,0,4,11,2,2,2,2
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,SetColorController,129,0,14,0,36,0,11,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,GoToMainMenuBuilderController,34,20,0,0,9,7,3,1,3,1
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,BuilderReleaseBoardController,410,0,40,0,105,0,24,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,FlipPieceMove,51,0,8,0,15,0,7,0,3,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,SelectPieceMove,31,0,4,0,10,0,5,0,3,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,ChangeScreenMove,27,0,4,0,10,0,5,0,3,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,SelectLevelMove,59,0,6,0,11,0,6,0,3,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,RotatePieceMove,51,0,8,0,15,0,7,0,3,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,Move,3,0,0,0,1,0,1,0,1,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji,Main,6342,0,40,0,133,0,41,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,FlipSelectedPieceBullpenController,120,0,2,0,28,0,5,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,TileController,838,0,88,0,169,0,50,0,6,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,ResetLevelController,148,0,4,0,34,0,6,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,BoardController,21,0,0,0,9,0,4,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,LosingScreenController,16,0,0,0,7,0,2,0,2,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,RotateSelectedPieceBullpenController,120,0,2,0,28,0,5,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,NextLevelController,142,0,8,0,38,0,8,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,SelectPieceBullpenController,112,0,8,0,28,0,8,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,SelectLevelController,124,0,4,0,31,0,6,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,GoToLevelSelectController,47,0,0,0,15,0,4,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,GoToMainMenuController,88,0,6,0,24,0,7,0,4,0
